page_content,metadata
"المادة الحادية عشرة 
عدلت هذه المادة بموجب المرسوم الملكي رقم (٣) وتاريخ  5  /١١ / ٢ هـ لتصبح بالنص 
التالى: 
 
 ""تضبط وتصادر جميع النقود المزيفة والمقلدة وكافة الأدوات والمواد المستعملة في الجريمة أو  
المتحصلة عنها وتسلم إلى مؤسسة النقد العربي السعودي ، ولا يدفع مقابل لها أي تعويض عنها بأية 
حال من الأحوال . ""","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 2}"
"المادة الثانية عشرة 
للحكومة الحق في اقتضاء الغرامة بطريق التنفيذ الجبري على أملاك المحكوم عليه الثابتة والمنقولة أو بطريق 
الإكراه بحبس المحكوم عليه يوماً واحداً عن كل خمسة ريالات سعودية على أن لا تتجاوز مدة الحبس ستة أشهر.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 2}"
"المادة الثالثة عشرة  
يجوز للحكومة ولكل من أصابه ضرر بسبب الجرائم المنصوص عليها في هذا النظام أن يطالب المحكوم عليه 
بتعويضه عما لحقه من ضرر مادي أو معنوي.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 2}"
"المادة الرابعة عشرة  
على رئيس مجلس الوزراء ووزير المالية والاقتصاد الوطني ووزير الداخلية تنفيذ هذا النظام كل منهم فيما 
يخصه.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 2}"
"المادة الخامسة عشرة  
يعمل بهذا النظام من تاريخ نشره في الجريدة الرسمية.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 2}"
"النظام الجزائي لجرائم التزوير 
1435 هـ 
بسم الله الرحمن الرحيم 
مرسوم ملكي رقم ( م/11 ) بتاريخ18  /2  / 1435 
بعون الله تعالى  
نحن عبد الله بن عبد العزيز آل سعود  
ملك المملكة العربية السعودية 
بناءً على المادة (السبعين) من النظام الأساسي للحكم، الصادر بالأمر الملكي رقم (أ/٠٩) بتاريخ  ٧٢/ ٨/ 
٢١٤١هـ.  
وبناءً على المادة (العشرين) من نظام مجلس الوزراء، الصادر بالأمر الملكي رقم (أ/ ٣١) بتاريخ  ٣/ ٣/ 
٤١٤١هـ.  
وبناءً على المادة (الثامنة عشرة) من نظام مجلس الشورى، الصادر بالأمر الملكي رقم (أ/ ١٩) بتاريخ  ٧٢/ ٨/ 
٢١٤١هـ.  
وبعد الاطلاع على قراري مجلس الشورى رقم (٧٩١ / ٩٧) بتاريخ  ٤٢/ ٢/ ٤٣٤١هـ ورقم ( ٠٤١/ ١٧) 
بتاريخ ٥/ ٢/ ٢٣٤١هـ.  
وبعد الاطلاع على قرار مجلس الوزراء رقم (٨٣) بتاريخ  ٩٢/ ١/ ٥٣٤١هـ.  
رسمنا بما هو آت: 
أولاً : الموافقة على النظام الجزائي لجرائم التزوير بالصيغة المرافقة.   
ثانيًا : على سمو نائب رئيس مجلس الوزراء والوزراء ورؤساء الأجهزة المعنية المستقلة – كل فيما يخُصُّه – 
تنفيذ مرسومنا هذا.  
عبد الله بن عبد العزيز آل سعود","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 0}"
"النظام الجزائي لجرائم التزوير 
الفصل الأول التعريفات وطرق التزوير أولاً: تعريفات","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 1}"
"المادة الأولى: 
يقصد بالمصطلحات والعبارات الآتية أينما وردت في هذا النظام المعاني الموضحة أمام كل منها، ما لم يدل 
السياق على خلاف ذلك: 
١- التزوير: كل تغيير للحقيقة بإحدى الطرق المنصوص عليها في هذا النظام ـ حدث بسوء نية ـ قصداً 
للاستعمال فيما يحميه النظام من محررٍ أو خاتمٍ  أو علامةٍ أو طابعٍ ، وكان من شأن هذا التغيير أن يتسبب في 
ضرر مادي أو معنوي أو اجتماعي لأي شخص ذي صفة طبيعية أو اعتبارية. 
٢- الخاتم: الأداة التي تمهر بها المحررات للتوثيق، أو الأثر المنطبع منها. 
٣- الطابع: الملصق أو ما يقوم مقامه مما يطبع آليًّا أو إلكترونيًّا ويستخدم لأغراض البريد أو لتحصيل الإيرادات  
العامة. 
٤- العلامة: الإشارة (أو الرمز) التي تستعملها جهة عامة للدلالة على معنى خاص بها يرتب أثراً نظاميًّا، 
بصرف النظر عن نوعها أو شكلها. 
٥- المحرر: كل مسطور يتضمن حروفاً أو علامات ينتقل بقراءتها الفكر إلى معنى معين بصرف النظر عن  
الوعاء الذي كتبت أو حفظت فيه، بما في ذلك وسائل تقنية المعلومات. 
6- الأوراق الخاصة بالمصارفالمحررات التي تستعملها المصارف للإيداع أو السحب أو التحويل من  
خزينتها أو حساباتها أو من حساب أحد العملاء، ويدخل في ذلك الاعتمادات المستندية، وخطابات الضمان،  
وبطاقات الائتمان، وبطاقات الحسم. 
٧- الوثيقة التاريخية: محرر قديم ونادر يتضمن وقائع ومعلومات عن تاريخ المملكة، وتكون له قيمة تاريخية 
وليست له حجية نظامية. 
ثانياً: طرق التزوير","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 1}"
"المادة الثانية: 
يقع التزوير بإحدى الطرق الآتية: 
أ - صنع محررٍ أو خاتمٍ أو علامةٍ أو طابعٍ، لا أصل له أو مقلدٍ من الأصل أو محرَّفٍ عنه.  
ب- تضمين المحرر خاتماً أو توقيعاً أو بصمة أو علامة أو طابعاً، لا أصل له أو مقلداً من الأصل أو محرفاً عنه.  
ج- تضمين المحرر توقيعاً صحيحاً أو بصمة صحيحة، حصل على أي منهما بطريق الخداع.  
د- التغيير أو التحريف في محررٍ أو خاتمٍ أو علامةٍ أو طابعٍ، سواء وقع ذلك بطريق الإضافة أو الحذف أو  
الإبدال، أو الإتلاف الجزئي للمحرر الذي يغير من مضمونه. 
هـ - التغيير في صورة شخصية في محرر، أو استبدال صورة شخص آخر بها. 
و- تضمين المحرر واقعة غير صحيحة بجعلها تبدو واقعةً صحيحة، أو ترك تضمين المحرر واقعةً كان الفاعل 
عالماً بوجوب تضمينها فيه.  
ز- تغيير إقرار أُولي  الشأن الذي كان الغرض من تحرير المحرر إدراجه فيه. 
ح- إساءة استخدام توقيع أو بصمة على بياض اؤتمن عليه.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 1}"
"المادة الثالثة: 
من زوّر خاتم الدولة، أو خاتم الملك أو ولي العهد أو رئيس مجلس الوزراء أو أحد نوابه، أو خاتم الديوان الملكي  
أو ديوان ولي العهد؛ يعاقب بالسجن من ثلاث إلى عشر سنوات وبغرامة لا تزيد على مليون ريال.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 1}"
الفصل الثاني تزوير الأختام والعلامات,"{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 2}"
"المادة الرابعة: 
من زوّر خاتماً أو علامةً منسوبة إلى جهة عامة، أو إلى أحد موظفيها بصفته الوظيفية، أو زوّر خاتماً أو علامة 
لها حجية في المملكة عائدة لأحد أشخاص القانون الدولي العام أو لأحد موظفيه بصفته الوظيفية ؛ يعاقب بالسجن 
من سنة إلى سبع سنوات وبغرامة لا تزيد على سبعمائة ألف ريال.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 2}"
"المادة الخامسة: 
من زوّر خاتمَ جهةٍ غير  عامة، يعاقب بالسجن مدة لا تتجاوز ثلاث سنوات وبغرامة لا تزيد على ثلاثمائة ألف 
ريال، أو بإحدى هاتين العقوبتين. 
الفصل الثالث تزوير الطوابع","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 2}"
"المادة السادسة: 
من زوّر طابعاً يعاقب بالسجن مدة لا تتجاوز خمس سنوات، وبغرامةٍ لا تزيد على خمسمائة ألف ريال، مع إلزامه 
بدفع ما فوته على الخزينة العامة من مبالغ.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 2}"
"المادة السابعة: 
من أعاد استعمال طابعٍ سبق تحصيل قيمته، يعاقب بالسجن مدة لا تتجاوز ثلاثة أشهر، وبغرامةٍ لا تزيد على 
ثلاثين ألف ريال ، أو بإحدى هاتين العقوبتين، مع إلزامه بدفع ما فوته على الخزينة العامة من مبالغ. 
الفصل الرابع تزوير المحررات أولاً: الصور العادية","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 2}"
"المادة الثامنة: 
من زوّر محرراً منسوباً إلى جهة عامة أو أحد موظفيها بصفته الوظيفية، أو إلى أحد أشخاص القانون الدولي 
العام أو أحد موظفيه بصفته الوظيفية إذا كان للمحرر حجية في المملكة؛ يعاقب بالسجن من سنة إلى خمس 
سنوات وبغرامة لا تزيد على خمسمائة ألف ريال.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 2}"
"المادة التاسعة: 
من زوّر محرراً عرفيًّا، يعاقب بالسجن مدة لا تتجاوز ثلاث سنوات وبغرامة لا تزيد على ثلاثمائة ألف ريال، أو 
بإحدى هاتين العقوبتين. 
ثانياً: الصور المشددة","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 2}"
"المادة العاشرة: 
من زوّر محرراً منسوباً إلى الملك، أو ولي العهد، أو رئيس مجلس الوزراء، أو أحد نوابه؛ يعاقب بالسجن من 
ثلاث إلى عشر سنوات وبغرامة لا تزيد على مليون ريال.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 2}"
"المادة الحادية عشرة 
من زوّر سنداتٍ أو أوراقاً ذات قيمة مما تصدره الخزينة العامة، يعاقب بالسجن من سنتين إلى سبع سنوات 
وبغرامة لا تزيد على مليون ريال، مع إلزامه بدفع ما فوته على الخزينة العامة.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 3}"
"المادة الثانية عشرة: 
كل موظفٍ عامٍّ زوّر محرراً مما يختص بتحريره، يعاقب بالسجن من سنة إلى سبع سنوات وبغرامة لا تزيد على 
سبعمائة ألف ريال.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 3}"
"المادة الثالثة عشرة: 
من زوّر أوراقاً تجارية أو مالية أو الأوراق الخاصة بالمصارف، أو وثائق تأمين؛ يعاقب بالسجن من سنة إلى  
خمس سنوات وبغرامة لا تزيد على أربعمائة ألف ريال. 
ثالثاً: الصور المخففة","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 3}"
"المادة الرابعة عشرة: 
من زوّر أو منح (بحسب اختصاصه) تقريراً أو شهادةً طبيةً على خلاف الحقيقة مع علمه بذلك؛ يعاقب بالسجن 
مدة لا تتجاوز سنة وبغرامة لا تزيد على مائة ألف ريال، أو بإحدى هاتين العقوبتين.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 3}"
"المادة الخامسة عشرة: 
كل مختص زوّر في أوراق إجابات الاختبارات الدراسية أو بيانات رصد نتائجها، يعاقب بالسجن مدة لا تتجاوز 
ستة أشهر وبغرامة لا تزيد على ستين ألف ريال، أو بإحدى هاتين العقوبتين.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 3}"
"المادة السادسة عشرة: 
من زوّر في محرر معدّ لإثبات حضور الموظف إلى عمله أو انصرافه منه؛ يعاقب بالسجن مدة لا تتجاوز ثلاثة 
أشهر وبغرامة لا تزيد على ثلاثين ألف ريال، أو بإحدى هاتين العقوبتين. 
رابعاً: الصور الملحقة","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 3}"
"المادة السابعة عشرة: 
من استعمل حكماً أو أمراً قضائياً أو وكالة صادرة من جهة مختصة انتهت صلاحيتها، وكان عالماً بذلك، وقاصداً  
الإيهام بأنها لا تزال حافظةً لحجيتها النظامية، وترتب على هذا الاستعمال إثبات حقٍّ أو إسقاطه أو حدوث ضررٍ 
للغير؛ يعاقب بالسجن مدة لا تتجاوز سنة وبغرامة لا تزيد على مائة ألف ريال، أو بإحدى هاتين العقوبتين.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 3}"
"المادة الثامنة عشرة: 
من زوّر وثيقة تاريخية، يعاقب بالسجن مدة لا تتجاوز ثمانية أشهر وبغرامة لا تزيد على ثمانين ألف ريال، أو 
بإحدى هاتين العقوبتين.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 3}"
الفصل الخامس أحكام عامة,"{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 4}"
"المادة التاسعة عشرة: 
يعاقب بالعقوبة نفسها المقررة لجريمة التزوير المنصوص عليها في هذا النظام، كل من استعمل أيًّا مما نص على  
تجريمه في هذا النظام مع علمه بتزويره، وكل من جلب إلى المملكة أو حاز فيها أيًّا مما نص على تجريمه في 
المواد (الثالثة) و(الرابعة) و(السادسة) و(الثامنة) و(العاشرة) و(الحادية عشرة) و(الثالثة عشرة) مع علمه  
بتزويره.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 4}"
"المادة العشرون: 
يعاقب على الشروع في أي من الجرائم المنصوص عليها في هذا النظام، بما لا يتجاوز نصف الحد الأقصى 
للعقوبة المقررة لتلك الجريمة.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 4}"
"المادة الحادية والعشرون: 
من اشترك - بطريق الاتفاق أو التحريض أو المساعدة - في ارتكاب أيّ  من الجرائم المنصوص عليها في هذا 
النظام، يعاقب بالعقوبة نفسها المقررة لتلك الجريمة.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 4}"
"المادة الثانية والعشرون: 
على المحكمة المختصة - عند الإدانة بأيٍّ من الجرائم المنصوص عليها في هذا النظام - الحكم بمصادرة جميع 
الأشياء المضبوطة التي استعملت في تلك الجريمة والمتحصلة منها دون الإخلال بحق الغير حسن النية.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 4}"
"المادة الثالثة والعشرون: 
كل منشأة خاصة تعمل في المملكة ثبت أن مديرها أو أحد منسوبيها ارتكب جريمة من الجرائم المنصوص عليها 
في هذا النظام لمصلحتها وبعلم منها، تعاقب بغرامة لا تزيد على عشرة ملايين ريال، وبالحرمان من التعاقد من 
سنتين إلى خمس سنوات مع أي جهة عامة، وذلك دون الإخلال بأي عقوبة نص عليها هذا النظام في حق 
الشخص ذي الصفة الطبيعية مرتكب الجريمة.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 4}"
"المادة الرابعة والعشرون: 
للمحكمة المختصة إيقاف أي عقوبة تبعية تترتب على الإدانة بالجرائم المنصوص عليها في المواد (السابعة) 
و(الرابعة عشرة) و(الخامسة عشرة) و(السادسة عشرة) من هذا النظام.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 4}"
"المادة الخامسة والعشرون: 
تحكم المحكمة المختصة بالإعفاء من عقوبة جرائم التزوير المنصوص عليها في هذا النظام، لكل من بادر من 
الجناة بالإبلاغ عن جريمته قبل اكتشافها واستعمال المزوّر.  
وللمحكمة المختصة إعفاء الجاني من العقوبة بعد اكتشاف الجريمة إذا أرشد عن باقي الجناة وسهّل القبض عليهم.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 4}"
"المادة السادسة والعشرون: 
تطبق أحكام هذا النظام على كل من ارتكب خارج المملكة جريمةً من الجرائم المنصوص عليها في المواد 
(الثالثة) و(الرابعة) و(الثامنة) و(العاشرة) و(الحادية عشرة) و(الثالثة عشرة) من هذا النظام، إلا إذا ثبت أنه سبق  
أن صدر حكمٌ قضائي في الخارج بعدم إدانته بما أسند إليه أو حكم بإدانته عن الفعل نفسه واستوفى عقوبته.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 4}"
"المادة السابعة والعشرون 
فيما عدا الجرائم المنصوص عليها في المادتين (الثالثة) و(العاشرة)، تنقضي الدعوى الجزائية في الجرائم  
المنصوص عليها في هذا النظام بعد مضي عشر سنوات تبدأ من اليوم التالي لوقوع الجريمة.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 5}"
"المادة الثامنة والعشرون: 
فيما عدا المواد (الرابعة عشرة) و(الخامسة عشرة) و(السادسة عشرة)، يجوز الحكم بنشر العقوبة المقضي بها 
في الجرائم الواردة في هذا النظام.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 5}"
"المادة التاسعة والعشرون: 
يلغي هذا النظام نظام مكافحة التزوير، الصادر بالمرسوم الملكي رقم (٤١١) وتاريخ  6 /١١ /٠٨٣١ هـ، وكل 
ما يتعارض معه من أحكام.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 5}"
"المادة الثلاثون: 
يعمل بهذا النظام بعد مضي ثلاثين يوماً من تاريخ نشره في الجريدة الرسمية.","{""source"": ""النظام الجزائي لجرائم التزوير.pdf"", ""page"": 5}"
"نظام الأسلحة والذخائر 
1426 هـ 
بسم الله الرحمن الرحيم 
مرسوم ملكي رقم م/45 بتاريخ25  /7  / 1426 
بعون الله تعالى 
نحن عبد الله بن عبد العزيز آل سعود 
ملك المملكة العربية السعودية  
بناء على المادة ( السبعين ) من النظام الأساسي للحكم ، الصادر بالأمر الملكي رقم (أ/٠٩) وتاريخ ٧٢ / ٨ / 
٢١٤١ هـ. 
وبناء على المادة (العشرين) من نظام مجلس الوزراء ، الصادر بالأمر الملكي رقم (أ/٣١) وتاريخ ٣ / ٣ / 
٤١٤١ هـ. 
وبناء على المادة (الثامنة عشرة) من نظام مجلس الشورى ، الصادر بالأمر الملكي رقم (أ/١٩) وتاريخ ٧٢ / ٨ / 
٢١٤١ هـ. 
وبعد الاطلاع  على قرار مجلس الشورى رقم ( ٤٠١ /١٨) وتاريخ ١ / ٣ / ٦٢٤١ هـ. 
وبعد الاطلاع  على قرار مجلس الوزراء رقم (٣٩١) وتاريخ ٤٢ / ٧ / ٦٢٤١ هـ. 
رسمنا بما هو آت 
أولا : الموافقة على نظام الأسلحة والذخائر ، وذلك بالصيغة المرافقة. 
ثانيا : على سمو نائب رئيس مجلس الوزراء والوزراء - كل فيما يخصه - تنفيذ مرسومنا هذا. 
عبد الله بن عبد العزيز 
بسم الله الرحمن الرحيم 
قرار مجلس الوزراء رقم 193 بتاريخ24  /7  / 1426 
إن مجلس الوزراء  
بعد الاطلاع  على المعاملة الواردة من ديوان رئاسة مجلس الوزراء برقم ٣١٨٢١/ ب وتاريخ  ٣ / ٤ / ٦٢٤١ 
هـ، المشتملة على خطاب صاحب السمو الملكي وزير الداخلية رقم  ٥٤ /١١س/٢٥٨١٢ وتاريخ ١١ / ٧ / 
١٢٤١ هـ، في شأن مشرو  نظام الأسلحة والذخائر .  
وبعد الاطلاع  على المحاضر رقم (٥٥٣) وتاريخ ١ / ٩ / ٣٢٤١ هـ، ورقم (٩٩) وتاريخ ٨٢ / ٧ / ٣٢٤١ هـ، 
ورقم (٠٢٢) وتاريخ ٦ / ٦ / ٦٢٤١ هـ، المعدة فى هيئة الخبراء.   
وبعد النظر في قرار مجلس الشورى رقم (٤٠١ /١٨) وتاريخ ١ / ٣ / ٦٢٤١ هـ. 
وبعد الاطلاع  على توصية اللجنة العامة لمجلس الوزراء رقم (٤٣٣) وتاريخ ٢١ / ٦ / ٦٢٤١ هـ. 
يقرر 
الموافقة على نظام الأسلحة والذخائر، وذلك بالصيغة المرافقة. 
وقد أعد مشرو  مرسوم ملكي بذلك ، صيغته مرافقة لهذا.  
رئيس مجلس الوزراء","{""source"": ""نظام الأسلحة والذخائر.pdf"", ""page"": 0}"
"نظام الأسلحة والذخائر 
التعريفات","{""source"": ""نظام الأسلحة والذخائر.pdf"", ""page"": 1}"
"المادة الأولى 
يقصد بالألفاظ والعبارات الآتية أينما وردت في هذا النظام المعاني المبينة أمامها ما لم يقتض السياق خاعف ذلك :  
الأسلحة الحربية : الأسلحة النارية والذخائر والتجهيزات التي صممت بشكل خاص لاعستعمال في العمليات  
الحربية، كالرشاشات والمدافع والصواريخ وغيرها. ويدخل في حكم الأسلحة الحربية الأسلحة التي تستخدم 
الأشعة، والغازات، والسموم، وأي ساعح عدا الأسلحة النارية الفردية والأسلحة المشار إليها في بقية فقرات هذه 
المادة.  
الأسلحة النارية الفردية : الأسلحة النارية المعدة لاستعمال شخص واحد، كالمسدسات، والبنادق، وفقا لما تحدده 
الاعئحة التنفيذية.  
أسلحة الصيد : الأسلحة النارية ذات السبطانة الملساء، التي صممت أصاع لأغراض الصيد.  
أسلحة التمرين والبنادق الهوائية : أسلحة رماية دون بارود وينطلق مقذوفها بوساطلة ضغط الهواء أو دفع نابض.   
الساعح الأبيض : كل أداة قاطلعة أو ثاقبة أو مهشمة أو راضة، كالسيوف والخناجر والمدى والنبال والحراب 
والعصي ذات الحربة والقبضات وما في حكمها.  
الذخيرة : المقذوفات التي تنطلق من الأسلحة نتيجة الدفع الانفجاري أو الهوائي أو الدفع بالنابضات.   
الأسلحة الأثرية : الأسلحة القديمة ذات القيمة التاريخية التي يثبت بعد فحصها ومعاينتها عدم إمكانية استخدامها.  
الاعئحة : الاعئحة التنفيذية لهذا النظام.  
الوزير : وزير الداخلية .  
الجهة المختصة : وزارة الداخلية . 
أحكام عامة","{""source"": ""نظام الأسلحة والذخائر.pdf"", ""page"": 1}"
"المادة الثانية 
يسمح بحمل الأسلحة الحربية والفردية الحكومية وذخائرها واستخدامها وفق الأنظمة والأوامر الخاصة بحملها 
واستخدامها لكل من:  
١- العسكريين العاملين في: 
أ - الحرس الوطلني. 
ب - وزارة الدفا  والطيران. 
ج - وزارة الداخلية. 
د - الاستخبارات العامة. 
هـ- رئاسة أمن الدولة. 
٢ - موظفي الحكومة المدنيين الذين ينص نظام الجهة التابعين لها على جواز حملهم أسلحة حكومية.","{""source"": ""نظام الأسلحة والذخائر.pdf"", ""page"": 1}"
